probe_id,mirna_name
aae-miR-1000_st,aae-miR-1000
aae-miR-100_st,aae-miR-100
aae-miR-10_st,aae-miR-10
aae-miR-11-star_st,aae-miR-11-star
aae-miR-1174_st,aae-miR-1174
aae-miR-1175-star_st,aae-miR-1175-star
aae-miR-1175_st,aae-miR-1175
aae-miR-11_st,aae-miR-11
aae-miR-12-star_st,aae-miR-12-star
aae-miR-124_st,aae-miR-124
aae-miR-125-star_st,aae-miR-125-star
aae-miR-125_st,aae-miR-125
aae-miR-12_st,aae-miR-12
aae-miR-13-star_st,aae-miR-13-star
aae-miR-133_st,aae-miR-133
aae-miR-137_st,aae-miR-137
aae-miR-13_st,aae-miR-13
aae-miR-14_st,aae-miR-14
aae-miR-184_st,aae-miR-184
aae-miR-1889-star_st,aae-miR-1889-star
aae-miR-1889_st,aae-miR-1889
aae-miR-1890_st,aae-miR-1890
aae-miR-1891_st,aae-miR-1891
aae-miR-190_st,aae-miR-190
aae-miR-193_st,aae-miR-193
aae-miR-1_st,aae-miR-1
aae-miR-210_st,aae-miR-210
aae-miR-219_st,aae-miR-219
aae-miR-252-star_st,aae-miR-252-star
aae-miR-252_st,aae-miR-252
aae-miR-263a-star_st,aae-miR-263a-star
aae-miR-263a_st,aae-miR-263a
aae-miR-263b-star_st,aae-miR-263b-star
aae-miR-263b_st,aae-miR-263b
aae-miR-275-star_st,aae-miR-275-star
aae-miR-275_st,aae-miR-275
aae-miR-276-star_st,aae-miR-276-star
aae-miR-2765_st,aae-miR-2765
aae-miR-276_st,aae-miR-276
aae-miR-277-star_st,aae-miR-277-star
aae-miR-277_st,aae-miR-277
aae-miR-278-star_st,aae-miR-278-star
aae-miR-278_st,aae-miR-278
aae-miR-279_st,aae-miR-279
aae-miR-281-star_st,aae-miR-281-star
aae-miR-281_st,aae-miR-281
aae-miR-282-star_st,aae-miR-282-star
aae-miR-282_st,aae-miR-282
aae-miR-283_st,aae-miR-283
aae-miR-285_st,aae-miR-285
aae-miR-286a_st,aae-miR-286a
aae-miR-286b_st,aae-miR-286b
aae-miR-2940-star_st,aae-miR-2940-star
aae-miR-2940_st,aae-miR-2940
aae-miR-2941_st,aae-miR-2941
aae-miR-2942_st,aae-miR-2942
aae-miR-2943_st,aae-miR-2943
aae-miR-2944a-star_st,aae-miR-2944a-star
aae-miR-2944a_st,aae-miR-2944a
aae-miR-2944b-star_st,aae-miR-2944b-star
aae-miR-2944b_st,aae-miR-2944b
aae-miR-2945-star_st,aae-miR-2945-star
aae-miR-2945_st,aae-miR-2945
aae-miR-2946_st,aae-miR-2946
aae-miR-2a-star_st,aae-miR-2a-star
aae-miR-2a_st,aae-miR-2a
aae-miR-2b_st,aae-miR-2b
aae-miR-2c_st,aae-miR-2c
aae-miR-305-star_st,aae-miR-305-star
aae-miR-305_st,aae-miR-305
aae-miR-306-star_st,aae-miR-306-star
aae-miR-306_st,aae-miR-306
aae-miR-307_st,aae-miR-307
aae-miR-308-star_st,aae-miR-308-star
aae-miR-308_st,aae-miR-308
aae-miR-309a_st,aae-miR-309a
aae-miR-309b-star_st,aae-miR-309b-star
aae-miR-309b_st,aae-miR-309b
aae-miR-315-star_st,aae-miR-315-star
aae-miR-315_st,aae-miR-315
aae-miR-316_st,aae-miR-316
aae-miR-317_st,aae-miR-317
aae-miR-31_st,aae-miR-31
aae-miR-33_st,aae-miR-33
aae-miR-34-star_st,aae-miR-34-star
aae-miR-34_st,aae-miR-34
aae-miR-375_st,aae-miR-375
aae-miR-71-star_st,aae-miR-71-star
aae-miR-71_st,aae-miR-71
aae-miR-79-star_st,aae-miR-79-star
aae-miR-79_st,aae-miR-79
aae-miR-7_st,aae-miR-7
aae-miR-8-star_st,aae-miR-8-star
aae-miR-87_st,aae-miR-87
aae-miR-8_st,aae-miR-8
aae-miR-927_st,aae-miR-927
aae-miR-929_st,aae-miR-929
aae-miR-92a-star_st,aae-miR-92a-star
aae-miR-92a_st,aae-miR-92a
aae-miR-92b-star_st,aae-miR-92b-star
aae-miR-92b_st,aae-miR-92b
aae-miR-932-star_st,aae-miR-932-star
aae-miR-932_st,aae-miR-932
aae-miR-957_st,aae-miR-957
aae-miR-965_st,aae-miR-965
aae-miR-970_st,aae-miR-970
aae-miR-980-star_st,aae-miR-980-star
aae-miR-980_st,aae-miR-980
