fluid,mirna,specificity_score,detection_rate,fluid_min,fluid_max,other_max
saliva,bkv-miR-B1-3p/jcv-miR-J1-3p,0.0,1.0,-4.348783109596454,-4.235766052040501,-3.32480200459682
saliva,bkv-miR-B1-5p,0.0,1.0,-8.277516319436202,-7.902613684207672,-7.392941739724437
saliva,ebv-miR-BART1-3p,0.0,1.0,-5.276243729552231,-4.942923947462505,-4.878783947586311
saliva,ebv-miR-BART1-5p,0.0,1.0,-7.602888317341272,-7.377677786694691,-6.708180066588541
saliva,ebv-miR-BART10-3p,0.0,1.0,-3.0221970596792267,-2.967591179895851,-3.11383180507614
saliva,ebv-miR-BART10-5p,0.0,1.0,-6.03871935729367,-3.9661795391105654,-1.9767226489021297
saliva,ebv-miR-BART11-3p,0.0,1.0,-6.236231085673467,-6.202405483773035,-4.391498639770545
saliva,ebv-miR-BART11-5p,0.0,1.0,-2.630400109930932,-2.3304820237218404,-1.042481250360578
saliva,ebv-miR-BART12,0.0,1.0,-4.497038024422635,-3.678561379416531,-3.099017389409967
saliva,ebv-miR-BART13-3p,0.0,0.0,-12.144495314773485,-11.035447973822148,-11.137283610441624
saliva,ebv-miR-BART13-5p,0.0,1.0,-3.0804820237218404,-2.6229632740824185,-2.1229632740824185
saliva,ebv-miR-BART14-3p,0.0,1.0,-5.519491797940866,-4.961525619568729,-4.121433746791681
saliva,ebv-miR-BART14-5p,0.0,1.0,-5.504613554277942,-5.134880586930247,-4.842399336569669
saliva,ebv-miR-BART15,0.0,1.0,-3.689659909256144,-3.4154445244429965,-2.3072046726239703
saliva,ebv-miR-BART16,0.0,1.0,-8.940117159205112,-8.480572620716883,-8.040745732152583
saliva,ebv-miR-BART17-3p,0.0,1.0,-6.2215282365180045,-5.985709692362252,-5.198408764595195
saliva,ebv-miR-BART17-5p,0.0,1.0,-1.5323207542362416,-1.146240625180289,-1.042481250360578
saliva,ebv-miR-BART18-3p,0.0,1.0,-7.334488893651148,-6.80761911898256,-6.047942451938714
saliva,ebv-miR-BART18-5p,0.0,1.0,-4.430528440249866,-3.773189285229963,-2.769203899262708
saliva,ebv-miR-BART19-3p,0.0,0.0,-12.93630035656495,-10.966478459067917,-10.782220571226574
saliva,ebv-miR-BART19-5p,0.0,1.0,-5.605541349270708,-5.129732429867514,-4.005418510714593
saliva,ebv-miR-BART2-3p,0.0,1.0,-7.993847688943499,-7.279152620459367,-7.315411024376858
saliva,ebv-miR-BART2-5p,0.0,1.0,-4.820998162151894,-3.523189285229963,-2.8110166160487045
saliva,ebv-miR-BART20-3p,0.0,1.0,-6.868962048717265,-6.421429305616304,-5.858395214232216
saliva,ebv-miR-BART20-5p,0.0,1.0,-2.5090434031383713,-2.1229632740824185,-1.410964047443681
saliva,ebv-miR-BART21-3p,0.0,1.0,-5.590987695784383,-5.368394731215195,-5.300211483898924
saliva,ebv-miR-BART21-5p,0.0,1.0,-2.5090434031383713,-1.9534452978042591,-1.542481250360578
saliva,ebv-miR-BART22,0.0,1.0,-0.896240625180289,-0.8304820237218405,-1.396240625180289
saliva,ebv-miR-BART3-3p,0.0,1.0,-4.754392411131408,-4.547446489715048,-4.168810089394637
saliva,ebv-miR-BART3-5p,0.0,1.0,-1.542481250360578,-1.292481250360578,0.0
saliva,ebv-miR-BART4-3p,0.0,1.0,-3.5221970596792267,-1.910964047443681,-2.0090434031383713
saliva,ebv-miR-BART4-5p,0.0,1.0,-6.037166312073837,-5.888294864309126,-5.266202463200877
saliva,ebv-miR-BART5-3p,0.0,1.0,-2.269203899262708,-1.660964047443681,-1.2267226489021297
saliva,ebv-miR-BART5-5p,0.0,1.0,-7.276904354837641,-6.668389651597257,-6.700439718141092
saliva,ebv-miR-BART6-3p,0.0,0.0,-13.806217642846905,-12.51627088542291,-12.13301540119656
saliva,ebv-miR-BART6-5p,0.0,1.0,-2.9498204053804806,-2.834962500721156,-1.744319980874979
saliva,ebv-miR-BART7-3p,0.0,1.0,-1.5,-0.646240625180289,-0.25
saliva,ebv-miR-BART7-5p,0.0,1.0,-8.621058602191118,-8.305353812630463,-7.900819727644723
saliva,ebv-miR-BART8-3p,0.0,0.0,-11.677321522651368,-11.482904575442802,-9.552812522294674
saliva,ebv-miR-BART8-5p,0.0,1.0,-0.896240625180289,-0.896240625180289,0.0
saliva,ebv-miR-BART9-3p,0.0,1.0,-7.152934980898521,-7.042128169193186,-6.2887345149630764
